Model,Akurasi,SD Akurasi,Error,Balanced Acc,Presisi,Recall,F1,AUC,Log Loss
Gradient Boosting,0.801,0.0529,0.199,0.7903,0.7416,0.7442,0.7396,0.8786,0.5191
Hist. Gradient Boosting,0.7992,0.0496,0.2008,0.7863,0.7479,0.7313,0.7347,0.8739,0.5089
SVM (RBF),0.7966,0.0533,0.2034,0.7712,0.7777,0.6629,0.7113,0.859,0.4566
Neural Net (MLP),0.7834,0.0372,0.2166,0.7617,0.7435,0.6693,0.6982,0.8601,0.6341
Regresi Logistik (L2),0.7814,0.0472,0.2186,0.7561,0.7501,0.6473,0.6898,0.8577,0.4676
Random Forest,0.7775,0.0583,0.2225,0.7527,0.7432,0.6467,0.686,0.8474,0.4945
Extra Trees,0.7736,0.0636,0.2264,0.7499,0.7312,0.6476,0.6801,0.8353,0.5047
k-NN (k=7),0.7336,0.0519,0.2664,0.6931,0.709,0.521,0.5976,0.7712,1.2414
Naive Bayes,0.6642,0.0632,0.3358,0.6835,0.5461,0.7651,0.6351,0.7547,6.4596
